;;;;;
;;Sample Excel Worksheet;;;;
;;Created with Microsoft Excel 2003 SP1;;;;
;;RANDOM;;;;
;;;;;
;X;;Y;;;0,3967051833852684;;0,08969573680762935;
;0,053053158825753795;;0,3752037125524151;;;0,700470849266495;;0,47925892727415026;
;0,9621622762466605;;0,37213788012607857;;;0,8791843442615048;;0,9567491458527507;
;0,5243670863678526;;0,2336881348088794;;;0,22872374310564425;;0,6719913872294088;
;0,29747751788118737;;0,40812188778450803;;;0,22232502522986616;;0,43161156141739876;
;0,18644834411630795;;0,5202294059657628;;;0,8206874196513964;;0,062236502329929035;
;0,5372778687334051;;0,17857560523719324;;;0,35310843882761356;;0,4826630258386317;
;0,03840333411395705;;0,3143013614762115;;;0,42564222189860523;;0,6928764105275629;
;0,08677133223357207;;0,2348401971323603;;;;
;0,8981750215860899;;0,14486308262909905;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
